frame,fps,bus,car,person,truck
627,3.65,0,24,0,0
628,3.45,0,23,0,1
629,3.73,0,23,0,1
630,3.59,0,23,0,1
631,3.42,0,23,0,1
632,2.45,0,24,0,0
633,3.34,0,24,0,0
634,3.5,0,23,0,0
635,2.94,0,22,0,0
636,3.58,0,22,0,0
637,2.37,0,22,0,0
638,2.04,0,23,0,0
639,1.85,0,21,0,0
640,1.5,0,22,0,0
641,2.0,0,23,0,0
642,2.19,0,23,0,0
643,2.83,0,23,0,0
644,2.88,0,22,0,0
645,2.63,0,21,0,0
646,2.32,0,20,0,0
647,2.34,0,22,0,0
648,2.69,0,20,0,0
649,3.05,0,21,0,0
650,2.99,0,21,0,0
651,3.21,0,20,0,0
652,3.08,0,22,0,0
653,3.49,0,21,0,0
654,3.42,0,20,0,0
655,3.3,0,22,0,0
656,3.45,0,21,0,0
657,3.28,0,21,0,1
658,3.42,0,20,0,1
659,2.65,0,19,0,2
